company,model_name,rating,processor_name,processor_type,generation,ram,os,storage,size,warranty(year),price
ASUS,ExpertBook,,Intel,Corei5,10thGen,8GB,  Windows 10 Operating System,512 GB SSD,14 inch,,"₹86,990"
MSI,Creator,,Intel,Corei9,11thGen,16GB,  Windows 10 Operating System,1 TB SSD,16 inch,,"₹2,23,890"
HP,Envy,,Intel,Corei7,11thGen,16GB,  Windows 10 Operating System,512 GB SSD,13.3 inch,1,"₹1,14,975"
ASUS,Zenbook,4,Intel,Corei5,11thGen,8GB,  Windows 10 Operating System,512 GB SSD,13.3 inch,1,"₹1,16,990"
ASUS,Ryzen,,AMD,Ryzen7,,8GB,Windows 10 Operating System,512 GB SSD,15.6 inch,,"₹96,990"
ASUS,Vivobook,4.1,Intel,Corei3,11thGen,4GB,  Windows 10 Operating System,256 GB SSD,14 inch,1,"₹49,990"
Lenovo,IdeaPad,4.4,Intel,Corei3,10thGen,8GB,  Windows 10 Operating System,256 GB SSD,15.6 inch,1,"₹55,890"
ASUS,ROG,4.4,AMD,Ryzen9,,16GB,  Windows 10 Operating System,1 TB SSD,13.4 Inch,1,"₹1,75,990"
ASUS,Vivobook,,Intel,Corei5,11thGen,8GB,  Windows 10 Operating System,1 TB HDD|256 GB SSD,15.6 inch,1,"₹81,990"
DELL,Core,,Intel,Corei5,11thGen,16GB,  Windows 10 Operating System,512 GB SSD,14 Inch,,"₹89,395"
Lenovo,IdeaPad,3.8,Intel,CeleronDual,4th,4GB,  Windows 10 Operating System,256 GB SSD,11.6 inch,1,"₹41,890"
Nexstgo,Core,,Intel,Corei5,8thGen,16GB,  Windows 10 Operating System,512 GB SSD,14 inch,,"₹1,16,490"
acer,Aspire,4.3,Intel,Corei3,10thGen,4GB,  Windows 10 Operating System,512 GB SSD,14 inch,1,"₹55,999"
ASUS,Core,5,Intel,Corei3,11thGen,4GB,Windows 10 Operating System,256 GB SSD,15.6 inch,,"₹52,990"
Lenovo,Legion,,AMD,Ryzen7,,16GB,  Windows 10 Operating System,1 TB SSD,15.6 inch,1,"₹1,81,890"
ASUS,Ryzen,,AMD,Ryzen5,,8GB,Windows 10 Operating System,512 GB HDD|512 GB SSD,15.6 inch,,"₹68,990"
acer,Aspire,4.3,Intel,Corei5,8thGen,8GB,  Windows 10 Operating System,1 TB HDD,15.6 inch,1,"₹61,850"
acer,Swift,5,AMD,Ryzen5,,8GB,  Windows 10 Operating System,512 GB SSD,14 inch,1,"₹89,999"
ASUS,Vivobook,4.7,AMD,Ryzen3,,8GB,  Windows 10 Operating System,256 GB SSD,14.1 inch,1,"₹46,990"
ASUS,VivoBook,4.4,Intel,Corei3,11thGen,8GB,  Windows 10 Operating System,256 GB SSD,14 inch,1,"₹64,990"
DELL,Inspiron,4,Intel,Corei5,11thGen,16GB,  Windows 10 Operating System,512 GB SSD,14 inch,1,"₹89,849"
MSI,GE66,5,Intel,Corei7,10thGen,32GB,  Windows 10 Operating System,1 TB SSD,15.6 inch,2,"₹2,04,491"
HP,Core,,Intel,Corei3,10thGen,8GB,Windows 10 Operating System,512 GB SSD,14.1 inch,,"₹47,916"
acer,P2,4.1,Intel,Corei5,10thGen,8GB,  Windows 10 Operating System,1 TB HDD,14 inch,,"₹59,500"
ASUS,ZenBook,,Intel,Corei7,11thGen,16GB,  Windows 10 Operating System,512 GB SSD,13.3 inch,1,"₹1,22,990"
ASUS,ZenBook,4.4,Intel,Corei5,10thGen,8GB,  Windows 10 Operating System,512 GB SSD,13.3 inch,1,"₹98,990"
ALIENWARE,Core,,Intel,Corei7,9thGen,16GB,  Windows 10 Operating System,1 TB SSD,15.6 inch,1,"₹2,76,120"
ASUS,Zephyrus,,Intel,Corei7,11thGen,16GB,Windows 10 Operating System,1 TB SSD,16 inch,1,"₹1,94,990"
ASUS,ZenBook,4.4,Intel,Corei7,8thGen,8GB,  Windows 10 Operating System,512 GB SSD,13.3 inch,1,"₹1,02,990"
ASUS,Core,5,Intel,Corei9,10thGen,32GB,  Windows 10 Operating System,1 TB SSD,15.6 inch,1,"₹3,26,990"
Lenovo,Core,4.1,Intel,Corei5,9thGen,8GB,  Windows 10 Operating System,1 TB HDD,15.6 inch,,"₹69,890"
acer,Aspire,4.2,Intel,Corei5,11thGen,8GB,  Windows 10 Operating System,1 TB HDD|128 GB SSD,15.6 inch,1,"₹74,999"
ASUS,Pro,,Intel,Corei5,8thGen,8GB,  Windows 10 Operating System,512 GB SSD,14 inch,,"₹88,990"
ASUS,Core,,Intel,Corei5,11thGen,16GB,  Windows 10 Operating System,1 TB HDD|256 GB SSD,17.3 Inch,,"₹85,990"
HP,Pavilion,4.5,Intel,Corei5,11thGen,16GB,  Windows 10 Operating System,512 GB SSD,14 inch,1,"₹77,142"
ASUS,ExpertBook,,Intel,Corei5,10thGen,8GB,  Windows 10 Operating System,1 TB HDD,14 inch,,"₹83,990"
HP,Spectre,,Intel,Corei7,11thGen,16GB,  Windows 10 Operating System,1 TB SSD,13.3 inch,1,"₹1,52,042"
ASUS,VivoBook,,Intel,Corei5,10thGen,8GB,  Windows 11 Operating System,512 GB SSD,15.6 inch,1,"₹62,990"
Lenovo,IdeaPad,4,AMD,Ryzen5,,8GB,  Windows 10 Operating System,512 GB SSD,15.6 inch,1,"₹78,290"
APPLE,MacBook,4.2,Intel,Corei5,8thGen,8GB,Mac OS Operating System,512 GB SSD,13.3 inch,1,"₹1,79,900"
Lenovo,IdeaPad,4.3,Intel,Corei5,10thGen,8GB,  Windows 10 Operating System,512 GB SSD,15.6 inch,,"₹68,434"
ASUS,VivoBook,4.4,Intel,Corei7,11thGen,8GB,  Windows 10 Operating System,512 GB SSD,14 inch,1,"₹96,990"
ASUS,ASUS,,Intel,Corei5,11thGen,16GB,Windows 11 Operating System,512 GB SSD,15.6 inch,1,"₹1,29,990"
HP,15,,Intel,Corei7,8thGen,8GB,  Windows 10 Operating System,1 TB HDD|128 GB SSD,15.6 inch,1,"₹1,16,941"
ASUS,Vivobook,4.4,Intel,Corei3,11thGen,4GB,  Windows 10 Operating System,256 GB SSD,14 inch,1,"₹45,990"
